#Comparison of color for HST and SDSS â€“ hst is at size = 4 and SNR > 20                ,,,,
#snid, sdss color, sdss color uncert, hst color, hst color uncert
#    ,      [mag],              [mag],     [mag],            [mag]
12781,0.936161357,0.1429145843,nan,nan
12860,0.7150903951,0.0793482134,nan,nan
12874,0.8432163332,0.2555767714,nan,nan
12928,0.324432272,0.317296681,nan,nan
12930,0.2903391405,0.1966355988,nan,nan
13038,-0.7043570744,0.8161486569,nan,nan
13135,0.9856520602,0.2337392033,nan,nan
13354,0.7606988194,0.1535941893,nan,nan
13411,0.884830046,0.121539573,nan,nan
13506,0.6623739208,0.2414152439,nan,nan
13615,1.3309472868,0.0857297971,nan,nan
13689,1.1256084046,1.0113341026,nan,nan
13894,0.7381837221,0.0449593684,nan,nan
13896,0.7034430518,0.106145326,nan,nan
14113,0.8636934907,0.0340362113,1.1215843874,0.0448980798
14157,0.9474867608,0.0593137322,nan,nan
1415,1.4176719159,0.0235915702,1.3894671816,0.0251061139
14279,0.8233052127,0.0095803146,0.8613666016,0.0184275557
14284,0.8981798791,0.0082894245,1.0245185215,0.0136627463
14437,0.9530902588,0.0476605523,1.1318307239,0.0174099058
14871,0.5704532037,0.0186047327,0.6477998811,0.02572107
14984,0.8236963257,0.0697893479,nan,nan
15171,0.6730306751,0.3432463228,nan,nan
15222,1.1145358465,0.177319015,nan,nan
15229,0.5907010065,0.0925357356,0.4343052823,0.0358310339
15345,1.1260304376,0.0212458537,nan,nan
15461,0.3624614722,0.2383172517,nan,nan
15587,0.5314205463,0.1262203083,nan,nan
15850,nan,nan,nan,nan
17208,0.8003140432,0.4682234388,nan,nan
17371,0.3776445708,0.3585497569,nan,nan
17745,0.3031444505,0.0269632957,0.4521547872,0.0568279558
17884,0.4769155249,0.1553013948,nan,nan
17886,0.9485223616,0.0297035034,0.9444143492,0.0466198801
18030,0.459481473,0.0551251735,nan,nan
18241,0.6024026862,0.0419249912,0.5978482086,0.0316729631
18323,0.8674156125,0.2129846767,nan,nan
18415,1.1895861383,0.0831004275,nan,nan
18602,0.5848346918,0.1181741851,nan,nan
18835,1.0264809377,0.0214901647,0.8347364384,0.0370756138
19023,nan,nan,nan,nan
19048,0.6551069958,0.0377689139,0.5778533834,0.0488180737
19174,1.1858919982,0.0103119983,1.1045669633,0.0200809089
19282,-2.6749203929,3.5524822913,nan,nan
19323,0.3927037441,0.0723951685,0.3076077122,0.0695381652
19616,0.5258522229,0.2580998128,nan,nan
20350,1.2990905356,0.2011299339,nan,nan
20874,0.5171749227,0.0448828783,0.6311351675,0.0493350622
2102,1.1165835386,0.5845649035,nan,nan
2440,0.5434600832,0.0420980113,nan,nan
2561,0.749552757,0.0885267373,nan,nan
2635,0.4534082309,0.1048507336,0.4658597577,0.0665242436
2992,0.7895563142,0.0473368253,0.9654027838,0.0531900808
3488,1.2493508431,0.0722206645,1.4236519355,0.0350429815
4019,0.9240673532,0.2138452262,nan,nan
5103,0.3089507293,0.0876509006,nan,nan
5550,0.5782436794,0.0789513646,nan,nan
6057,0.6659050115,0.0168744288,0.6469815094,0.0289023122
6491,0.80591142,0.0907892327,nan,nan
6614,0.6316527551,0.0534798371,0.6441720444,0.046829319
8297,nan,nan,nan,nan
